FENCE commit cycle=73
B cycle=94 addr=80000080 resp=0
INVALIDATE cycle=103 done=1
QUERY A cycle=104 maintenance=0 invalidate=0
COMMIT cycle=538 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=539 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=540 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=541 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=542 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=543 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=544 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=545 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=546 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=547 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=548 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=549 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=550 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=551 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=552 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=553 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=554 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=555 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=556 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=557 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=558 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=559 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=560 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=561 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=562 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=563 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=564 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=565 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=566 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=567 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=568 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=569 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=570 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=571 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=572 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=573 pc=800001c0 next=800001c0 trap=0
